gvkey,fyear,enp_share
001682,1990.0,1.0
001682,1991.0,1.0
001682,1992.0,1.0
001682,1993.0,1.0
001682,1994.0,1.0
001682,1995.0,1.0
001682,1996.0,1.0
001682,1997.0,1.0
001682,1998.0,1.0
001682,1999.0,1.0
001682,2000.0,1.0
001682,2001.0,1.0
001682,2002.0,1.0
001682,2003.0,1.0
001682,2004.0,1.0
001682,2005.0,1.0
001682,2006.0,1.0
001682,2007.0,1.0
001682,2008.0,1.0
001682,2009.0,1.0
001682,2010.0,1.0
001682,2011.0,1.0
001682,2012.0,1.0
001682,2013.0,1.0
001711,1980.0,0.8272069751312792
001714,1976.0,1.0
001714,1977.0,1.0
001714,1978.0,1.0
001714,1979.0,1.0
001714,1980.0,1.0
001714,1981.0,1.0
001714,1983.0,1.0
001714,1984.0,1.0
001714,1985.0,1.0
001714,1986.0,1.0
001714,1987.0,1.0
001714,1988.0,1.0
001714,1989.0,1.0
001714,1990.0,1.0
001732,1977.0,1.0
001732,1978.0,1.0
001732,1979.0,1.0
001732,1980.0,1.0
001732,1981.0,1.0
001732,1982.0,1.0
001732,1983.0,1.0
001732,1984.0,1.0
001732,1985.0,1.0
001732,1986.0,1.0
001733,1977.0,1.0
001733,1978.0,1.0
001733,1979.0,1.0
001733,1984.0,0.8004406672961915
001797,1982.0,0.9423076923076923
001797,1983.0,1.0
001797,1984.0,1.0
001797,1985.0,1.0
001797,1986.0,0.9928131416837782
001797,1987.0,0.9052369077306733
001797,1997.0,1.0
001797,1998.0,1.0
001797,1999.0,1.0
001797,2000.0,0.9888888888888889
001797,2001.0,0.9814720812182741
001797,2002.0,0.952819332566168
001797,2003.0,0.9924471299093656
001797,2004.0,1.0
001797,2005.0,1.0
001797,2006.0,1.0
001797,2007.0,1.0
001797,2008.0,1.0
001903,1987.0,1.0
001903,1988.0,1.0
001903,1989.0,1.0
001903,1990.0,1.0
001903,1991.0,1.0
001929,1981.0,1.0
001929,1982.0,1.0
001929,1983.0,1.0
001929,1984.0,1.0
001929,1985.0,1.0
001961,1980.0,1.0
001961,1981.0,1.0
001984,1982.0,1.0
001984,1983.0,1.0
001984,1984.0,1.0
001984,1985.0,1.0
001985,1979.0,1.0
001985,1980.0,1.0
001985,1981.0,1.0
002052,1978.0,0.8412698412698414
002052,1987.0,0.808595098377632
002052,1988.0,0.8250457474739439
002052,2001.0,0.8362442658137283
002052,2003.0,0.8290488431876607
002052,2009.0,0.8016135061051582
002052,2011.0,0.8022695921501263
002052,2013.0,0.893335504620771
002052,2024.0,0.8099463856535404
002054,1982.0,1.0
002054,1983.0,1.0
002054,1985.0,0.9672131147540984
002054,1986.0,0.9627500574844792
002054,1987.0,0.9888629888629888
002054,1988.0,1.0
002054,1989.0,1.0
002054,1990.0,1.0
002054,1995.0,1.0
002054,1996.0,1.0
002054,1997.0,1.0
002054,2000.0,0.9779242997407234
002067,1977.0,1.0
002067,1978.0,1.0
002067,1979.0,1.0
002067,1980.0,1.0
002067,1981.0,1.0
002067,1982.0,1.0
002067,1983.0,1.0
002067,1984.0,1.0
002067,1985.0,1.0
002067,1986.0,1.0
002067,1987.0,1.0
002067,1988.0,1.0
002067,1989.0,1.0
002073,1979.0,1.0
002073,1980.0,1.0
002073,1981.0,1.0
002073,1982.0,1.0
002073,1983.0,1.0
002073,1984.0,1.0
002073,1985.0,1.0
002073,1986.0,1.0
002073,1987.0,1.0
002073,1988.0,1.0
002073,1989.0,1.0
002073,1990.0,1.0
002073,1991.0,1.0
002073,1992.0,1.0
002073,1993.0,1.0
002073,1994.0,1.0
002073,1995.0,1.0
002073,1996.0,1.0
002073,1997.0,1.0
002073,1998.0,1.0
002073,1999.0,1.0
002073,2000.0,1.0
