stype,tic,gvkey,sic,snms,sales,fyear
BUSSEG,AOG.3,001238,1311,OFFSHORE EXPLOR -PRODUCTION,680.891,1996.0
BUSSEG,AOG.3,001238,1311,TRANSPORTATN-STORAGE-PROCESS,352.59,1997.0
BUSSEG,AOG.3,001238,1311,OFFSHORE EXPLOR -PRODUCTION,846.02,1997.0
BUSSEG,AOG.3,001238,1311,WESTRN CANADIAN CONVENTIONAL,760.123,1998.0
BUSSEG,AOG.3,001238,1311,SYNCRUDE OIL-GAS EXPLORATION,144.324,1998.0
BUSSEG,AOG.3,001238,1311,INTERNATIONAL OIL-GAS EXPLOR,8.325,1998.0
BUSSEG,AOG.3,001238,1311,PIPELINES & GAS PROCESSING,282.664,1998.0
BUSSEG,AOG.3,001238,1311,GAS STORAGE & HUB SERVICES,46.764,1998.0
OPSEG,AOG.3,001238,1311,North America Upstream,1350.375,1999.0
OPSEG,AOG.3,001238,1311,International Upstream,95.011,1999.0
OPSEG,AOG.3,001238,1311,Pipelines & Gas Processing,359.2,1999.0
OPSEG,AOG.3,001238,1311,Gas Storage & Hub Services,130.606,1999.0
OPSEG,AOG.3,001238,1311,Upstream conventional,0.0,1999.0
OPSEG,AOG.3,001238,1311,Domestic upstream,1350.375,1999.0
OPSEG,AOG.3,001238,1311,International upstream,95.011,1999.0
OPSEG,AOG.3,001238,1311,Pipelines & gas processing,359.2,1999.0
OPSEG,AOG.3,001238,1311,Gas storage & Hub Services,130.606,1999.0
OPSEG,AOG.3,001238,1311,North America Upstream,2435.186,2000.0
OPSEG,AOG.3,001238,1311,International Upstream,215.809,2000.0
OPSEG,AOG.3,001238,1311,Pipelines & Gas Processing,518.982,2000.0
OPSEG,AOG.3,001238,1311,Gas Storage & Hub Services,364.394,2000.0
OPSEG,AOG.3,001238,1311,North America Upstream,2582.741,2001.0
OPSEG,AOG.3,001238,1311,International Upstream,254.739,2001.0
OPSEG,AOG.3,001238,1311,Pipelines & Gas Processing,742.68,2001.0
OPSEG,AOG.3,001238,1311,Gas Storage & Hub Services,358.217,2001.0
BUSSEG,6584B,001241,1311,ON & OFFSHORE OIL & GAS,0.72,1984.0
BUSSEG,6584B,001241,1311,ON & OFFSHORE OIL & GAS,0.722,1985.0
BUSSEG,6584B,001241,1311,ON & OFFSHORE OIL & GAS,0.428,1986.0
BUSSEG,6584B,001241,1311,ON & OFFSHORE OIL & GAS,0.327,1987.0
BUSSEG,6584B,001241,1311,ON & OFFSHORE OIL & GAS,0.337,1988.0
BUSSEG,AEOK,001255,1311,OIL & GAS ONSHORE,0.223,1980.0
BUSSEG,AEOK,001255,1311,OIL & GAS ONSHORE,0.645,1981.0
BUSSEG,AEOK,001255,1311,OIL & GAS ONSHORE,2.662,1982.0
BUSSEG,AEOK,001255,1311,OIL & GAS ONSHORE,3.565,1983.0
BUSSEG,AEOK,001255,1311,OIL & GAS ONSHORE,8.479,1984.0
BUSSEG,AEOK,001255,1311,OIL & GAS ONSHORE,7.559,1985.0
BUSSEG,AEOK,001255,1311,OIL & GAS ONSHORE,4.183,1986.0
BUSSEG,AEOK,001255,1311,OIL & GAS ONSHORE,3.703,1987.0
BUSSEG,AEOK,001255,1311,OIL & GAS ONSHORE,2.824,1988.0
BUSSEG,AEOK,001255,1311,OIL & GAS ONSHORE,5.224,1989.0
BUSSEG,AEOK,001255,1311,OIL & GAS ONSHORE,7.269,1990.0
BUSSEG,AEOK,001255,1311,OIL & GAS ONSHORE,6.993,1991.0
BUSSEG,AEOK,001255,1311,OIL & GAS ONSHORE,10.436,1992.0
BUSSEG,AEOK,001255,1311,OIL & GAS ONSHORE,12.957,1993.0
BUSSEG,AEOK,001255,1311,OIL & GAS ONSHORE,20.683,1994.0
BUSSEG,AEOK,001255,1311,OIL & GAS ONSHORE,19.612,1995.0
BUSSEG,CGYNQ,001258,1311,OIL & GAS-ONSHORE,0.041,1981.0
BUSSEG,CGYNQ,001258,1311,OIL & GAS-ONSHORE,0.126,1982.0
BUSSEG,CGYNQ,001258,1311,OIL & GAS-ONSHORE,0.266,1983.0
BUSSEG,CGYNQ,001258,1311,OIL & GAS-ONSHORE,0.214,1984.0
BUSSEG,CGYNQ,001258,1311,OIL & GAS-ONSHORE,0.201,1985.0
BUSSEG,CGYNQ,001258,1311,OIL & GAS-ONSHORE,0.1,1986.0
BUSSEG,CGYNQ,001258,1311,OIL & GAS-ONSHORE,0.075,1987.0
BUSSEG,CGYNQ,001258,1311,OIL & GAS-ONSHORE,0.03,1988.0
BUSSEG,CGYNQ,001258,1311,OIL & GAS ONSHORE,0.062,1989.0
BUSSEG,CGYNQ,001258,1311,OIL & GAS ONSHORE,0.353,1990.0
BUSSEG,CGYNQ,001258,1311,OIL & GAS ONSHORE,1.028,1991.0
BUSSEG,CGYNQ,001258,1311,OIL & GAS ONSHORE,1.282,1992.0
BUSSEG,CGYNQ,001258,1311,OIL & GAS ONSHORE,0.705,1993.0
BUSSEG,CGYNQ,001258,1311,OIL & GAS ONSHORE,0.352,1994.0
BUSSEG,CGYNQ,001258,1311,OIL & GAS ONSHORE,0.143,1995.0
BUSSEG,CGYNQ,001258,1311,OIL & GAS ONSHORE,0.046,1996.0
BUSSEG,CGYNQ,001258,1311,OIL & GAS-ONSHORE,0.024,1997.0
BUSSEG,CGYNQ,001258,1311,"Oil & Gas Exploration,Development & Production - Onshore",0.82,1998.0
BUSSEG,CGYNQ,001258,1311,OIL & GAS ONSHORE,0.82,1998.0
BUSSEG,CGYNQ,001258,1311,Oil & Gas Production,0.09,1999.0
BUSSEG,CGYNQ,001258,1311,"Oil & Gas Exploration,Development & Production - Onshore",0.09,1999.0
BUSSEG,CGYNQ,001258,1311,Oil & Gas Production,1.386,2000.0
BUSSEG,CGYNQ,001258,1311,"Oil & Gas Exploration,Development & Production - Onshore",1.386,2000.0
BUSSEG,CGYNQ,001258,1311,Oil & Gas Production,1.592,2001.0
BUSSEG,CGYNQ,001258,1311,Convernience Store Operation,2.651,2001.0
BUSSEG,CGYNQ,001258,1311,Refined Product Distribution,92.614,2001.0
BUSSEG,CGYNQ,001258,1311,Corporate and Other,0.0,2001.0
BUSSEG,CGYNQ,001258,1311,Oil & Gas Explorationg and Prodcution,1.345,2002.0
BUSSEG,CGYNQ,001258,1311,Oil & Gas Explorationg and Prodcution,3.148,2003.0
BUSSEG,CGYNQ,001258,1311,Oil & Gas Explorationg and Prodcution,5.255,2004.0
BUSSEG,CGYNQ,001258,1311,Oil & Gas Explorationg and Prodcution,3.572,2005.0
BUSSEG,ALGH.,001275,1311,OIL & GAS,9.314,1982.0
BUSSEG,ALGH.,001275,1311,OIL & GAS,11.355,1983.0
BUSSEG,ALGH.,001275,1311,OIL & GAS,,1984.0
BUSSEG,ALGH.,001275,1311,GAS DISTRIBUTION,268.504,1985.0
BUSSEG,APET,001333,1311,OIL & GAS,0.114,1979.0
BUSSEG,APET,001333,1311,OIL & GAS,0.168,1980.0
BUSSEG,APET,001333,1311,OIL & GAS,0.528,1981.0
BUSSEG,APET,001333,1311,OIL & GAS,0.98,1982.0
BUSSEG,APET,001333,1311,OIL & GAS,0.06,1983.0
BUSSEG,ALTE.1,001338,1311,OIL & GAS ONSHORE,1.052,1982.0
BUSSEG,ALTE.1,001338,1311,OIL & GAS ONSHORE,1.431,1983.0
BUSSEG,ALTE.1,001338,1311,OIL & GAS ONSHORE,2.215,1984.0
BUSSEG,ALTE.1,001338,1311,OIL & GAS ONSHORE,2.341,1985.0
BUSSEG,ALTE.1,001338,1311,OIL & GAS ONSHORE,1.388,1986.0
BUSSEG,ALTE.1,001338,1311,OIL & GAS ONSHORE,1.209,1987.0
BUSSEG,ALTE.1,001338,1311,OIL & GAS ONSHORE,1.253,1988.0
BUSSEG,ALTE.1,001338,1311,OIL & GAS ONSHORE,1.119,1989.0
BUSSEG,4150B,001364,1311,OIL & GAS,10.543,1977.0
BUSSEG,4150B,001364,1311,OIL & GAS,12.845,1978.0
BUSSEG,4150B,001364,1311,OIL & GAS,16.719,1979.0
BUSSEG,4150B,001364,1311,OIL & GAS,26.492,1980.0
BUSSEG,4150B,001364,1311,OIL & GAS,52.905,1981.0
BUSSEG,4150B,001364,1311,OIL & GAS,23.599,1982.0
BUSSEG,4150B,001364,1311,OIL & GAS,12.945,1983.0
BUSSEG,4150B,001364,1311,OIL & GAS,19.317,1984.0
BUSSEG,AOGCE,001368,1311,OIL & GAS,0.648,1979.0
BUSSEG,AOGCE,001368,1311,OIL & GAS,0.871,1980.0
BUSSEG,AOGCE,001368,1311,OIL & GAS,1.493,1981.0
BUSSEG,AOGCE,001368,1311,OIL & GAS,0.478,1982.0
BUSSEG,AOGCE,001368,1311,OIL & GAS,0.921,1983.0
BUSSEG,AOGCE,001368,1311,OIL & GAS,0.829,1984.0
BUSSEG,HES,001380,1311,CRUDE OIL,990.536,1976.0
BUSSEG,HES,001380,1311,NATURAL GAS,124.832,1976.0
BUSSEG,HES,001380,1311,PETROLEUM PRODUCTS,2756.165,1976.0
BUSSEG,HES,001380,1311,OTHER,43.061,1976.0
BUSSEG,HES,001380,1311,ON & OFFSHORE OIL & GAS,4591.25,1977.0
BUSSEG,HES,001380,1311,ON & OFFSHORE OIL & GAS,4701.121,1978.0
BUSSEG,HES,001380,1311,ON & OFFSHORE OIL & GAS,6769.938,1979.0
BUSSEG,HES,001380,1311,EXPLORATION & REFINING,7868.961,1980.0
BUSSEG,HES,001380,1311,EXPLORATION & REFINING,9396.219,1981.0
BUSSEG,HES,001380,1311,EXPLORATION & REFINING,8342.566,1982.0
BUSSEG,HES,001380,1311,EXPLORATION & REFINING,8368.941,1983.0
BUSSEG,HES,001380,1311,EXPLORATION & REFINING,8277.176,1984.0
BUSSEG,HES,001380,1311,EXPLORATION & REFINING,7653.422,1985.0
BUSSEG,HES,001380,1311,EXPLORATION & REFINING,4014.671,1986.0
BUSSEG,HES,001380,1311,EXPLORATION & REFINING,4706.523,1987.0
BUSSEG,HES,001380,1311,EXPLORATION & REFINING,4206.008,1988.0
BUSSEG,HES,001380,1311,EXPLORATION & REFINING,5588.949,1989.0
BUSSEG,HES,001380,1311,EXPLORATION & PRODUCTION,1455.0,1990.0
BUSSEG,HES,001380,1311,REFINING & MARKETING,5338.0,1990.0
BUSSEG,HES,001380,1311,CORPORATE & OTHER,155.0,1990.0
BUSSEG,HES,001380,1311,EXPLORATION & PRODUCTION,1897.0,1991.0
BUSSEG,HES,001380,1311,REFINING & MARKETING,4253.0,1991.0
BUSSEG,HES,001380,1311,CORPORATE & OTHER,117.0,1991.0
BUSSEG,HES,001380,1311,EXPLORATION & PRODUCTION,2118.0,1992.0
BUSSEG,HES,001380,1311,REFINING & MARKETING,3632.0,1992.0
BUSSEG,HES,001380,1311,CORPORATE & OTHER,125.0,1992.0
BUSSEG,HES,001380,1311,EXPLORATION & PRODUCTION,2293.0,1993.0
BUSSEG,HES,001380,1311,REFINING & MARKETING,3453.0,1993.0
BUSSEG,HES,001380,1311,CORPORATE & OTHER,106.0,1993.0
BUSSEG,HES,001380,1311,EXPLORATION & PRODUCTION,2263.0,1994.0
BUSSEG,HES,001380,1311,REFINING & MARKETING,4154.0,1994.0
BUSSEG,HES,001380,1311,CORPORATE & OTHER,185.0,1994.0
BUSSEG,HES,001380,1311,EXPLORATION & PRODUCTION,2610.0,1995.0
BUSSEG,HES,001380,1311,REFINING & MARKETING,4508.0,1995.0
BUSSEG,HES,001380,1311,CORPORATE & OTHER,184.0,1995.0
BUSSEG,HES,001380,1311,EXPLORATION & PRODUCTION,2989.0,1996.0
BUSSEG,HES,001380,1311,REFINING & MARKETING,5282.0,1996.0
BUSSEG,HES,001380,1311,CORPORATE & OTHER,1.0,1996.0
BUSSEG,HES,001380,1311,EXPLORATION & PRODUCTION,2949.0,1997.0
BUSSEG,HES,001380,1311,REFINING & MARKETING,5284.0,1997.0
BUSSEG,HES,001380,1311,CORPORATE & OTHER,1.0,1997.0
BUSSEG,HES,001380,1311,Exploration & Production,1867.0,1998.0
BUSSEG,HES,001380,1311,"Refining, Marketing & Shipping",4722.0,1998.0
BUSSEG,HES,001380,1311,Corporate & Other,1.0,1998.0
BUSSEG,HES,001380,1311,EXPLORATION & PRODUCTION,1867.0,1998.0
BUSSEG,HES,001380,1311,REFINING & MARKETING,4722.0,1998.0
BUSSEG,HES,001380,1311,CORPORATE & OTHER,1.0,1998.0
BUSSEG,HES,001380,1311,Exploration & Production,2497.0,1999.0
BUSSEG,HES,001380,1311,"Refining, Marketing & Shipping",4541.0,1999.0
BUSSEG,HES,001380,1311,Corporate & Other,1.0,1999.0
BUSSEG,HES,001380,1311,Exploration & Production,3178.0,2000.0
BUSSEG,HES,001380,1311,"Refining, Marketing & Shipping",8813.0,2000.0
BUSSEG,HES,001380,1311,Corporate & Other,2.0,2000.0
BUSSEG,HES,001380,1311,Exploration & Production,3596.0,2001.0
BUSSEG,HES,001380,1311,"Refining, Marketing & Shipping",9454.0,2001.0
BUSSEG,HES,001380,1311,Corporate & Other,2.0,2001.0
BUSSEG,HES,001380,1311,Exploration & Production,3199.0,2002.0
BUSSEG,HES,001380,1311,Refining & Marketing,8351.0,2002.0
BUSSEG,HES,001380,1311,Corporate & Interest,1.0,2002.0
