gvkey,fyear,total_sales,domestic_sales,domestic_sales_share
001380,2002.0,9366.0,8684.0,0.9271834294255819
001380,2003.0,12167.0,12019.0,0.9878359497000082
001380,2004.0,14480.0,14254.0,0.9843922651933702
001380,2005.0,19904.0,19496.0,0.9795016077170418
001380,2006.0,23282.0,22599.0,0.9706640322996306
001380,2007.0,26637.0,25530.0,0.958441265908323
001380,2008.0,34473.0,33202.0,0.9631305659501639
001380,2009.0,25945.0,24611.0,0.948583542108306
001380,2010.0,29482.0,28066.0,0.9519706939827691
001380,2011.0,16532.0,14916.0,0.9022501814662472
001380,2012.0,7231.0,5294.0,0.7321255704605172
001380,2013.0,7832.0,6076.0,0.7757916241062308
001380,2014.0,7178.0,6270.0,0.8735023683477292
001380,2015.0,4821.0,4150.0,0.8608172578303257
001380,2016.0,3551.0,3085.0,0.8687693607434526
001380,2017.0,4162.0,3692.0,0.8870735223450265
001380,2018.0,5554.0,4842.0,0.8718041051494418
001380,2019.0,5733.0,5043.0,0.879644165358451
001380,2020.0,3806.0,3604.0,0.9469259064634787
001380,2021.0,5981.0,5378.0,0.899180739006855
001380,2022.0,7815.0,7214.0,0.9230966090850927
001380,2023.0,6092.0,6092.0,1.0
001380,2024.0,6310.0,6310.0,1.0
001443,1977.0,0.025,0.025,1.0
001443,1978.0,0.02,0.02,1.0
001443,1979.0,0.0,0.0,
001443,1980.0,0.0,0.0,
001443,1981.0,0.022,0.022,1.0
001443,1982.0,0.184,0.184,1.0
001443,1983.0,0.092,0.092,1.0
001446,1983.0,1.037,1.037,1.0
001446,1984.0,3.943,3.943,1.0
001446,1985.0,10.423,10.423,1.0
001446,1986.0,13.081,13.081,1.0
001446,1987.0,22.928,22.928,1.0
001446,1988.0,36.581,36.581,1.0
001446,1989.0,44.04,44.04,1.0
001446,1990.0,51.4,50.663,0.9856614785992217
001446,1991.0,62.138,62.138,1.0
001446,1992.0,49.505,49.505,1.0
001446,1993.0,44.334,44.334,1.0
001446,1994.0,50.033,50.033,1.0
001446,1995.0,71.704,71.704,1.0
001446,1996.0,76.509,76.509,1.0
001461,1980.0,0.562,0.562,1.0
001461,1981.0,0.55,0.55,1.0
001461,1982.0,1.187,1.187,1.0
001461,1983.0,0.242,0.242,1.0
001461,1984.0,3.812,3.812,1.0
001461,1985.0,4.635,4.635,1.0
001467,1982.0,0.0,0.0,
001467,1983.0,0.275,0.275,1.0
001527,1981.0,2.279,2.279,1.0
001527,1982.0,3.592,3.592,1.0
001527,1983.0,9.044,9.044,1.0
001527,1984.0,12.309,12.309,1.0
001527,1985.0,10.228,10.228,1.0
001527,1986.0,7.54,7.54,1.0
001527,1987.0,6.291,6.291,1.0
001527,1988.0,11.814,11.814,1.0
001527,1989.0,18.893,18.893,1.0
001527,1990.0,11.403,11.403,1.0
001527,1991.0,12.788,12.788,1.0
001527,1992.0,11.129,11.129,1.0
001534,1977.0,4.023,4.023,1.0
001534,1978.0,4.02,4.02,1.0
001534,1979.0,4.285,4.285,1.0
001534,1980.0,6.214,6.214,1.0
001534,1981.0,8.309,8.309,1.0
001534,1982.0,10.113,10.113,1.0
001534,1983.0,9.005,9.005,1.0
001544,1977.0,24.122,21.243,0.8806483707818589
001544,1978.0,26.573999999999998,23.023,0.8663731466847295
001544,1979.0,30.628999999999998,25.688,0.8386822945574456
001544,1980.0,44.934999999999995,40.669,0.9050628685879604
001544,1981.0,58.475,54.904,0.9389311671654553
001544,1982.0,54.119,53.868,0.9953620724699275
001544,1983.0,39.18,39.18,1.0
001544,1984.0,33.969,33.969,1.0
001544,1985.0,25.311,25.311,1.0
001544,1986.0,11.442,11.442,1.0
001544,1987.0,8.713,8.713,1.0
001544,1988.0,6.204,6.204,1.0
001544,1989.0,8.673,8.673,1.0
001544,1990.0,42.03,42.03,1.0
001544,1991.0,21.769,21.769,1.0
001544,1992.0,13.263,13.263,1.0
001544,1993.0,4.555,4.555,1.0
001544,1994.0,4.128,4.128,1.0
001544,1995.0,4.328,4.328,1.0
001544,1996.0,10.458,10.458,1.0
001550,1977.0,1.376,1.376,1.0
001550,1978.0,0.932,0.932,1.0
001550,1979.0,1.565,1.565,1.0
001550,1980.0,1.888,1.888,1.0
001550,1981.0,2.803,2.803,1.0
001550,1982.0,4.27,4.27,1.0
