date,hhi,hhi_10000
1975-09-30,0.47105156964541905,4710.52
1975-12-31,0.311317837694396,3113.18
1976-03-31,0.1931294949848807,1931.29
1976-06-30,0.19233150948474872,1923.32
1976-09-30,0.1981080207503819,1981.08
1976-12-31,0.1749074247912048,1749.07
1977-03-31,0.09866728711388015,986.67
1977-06-30,0.09985320793572881,998.53
1977-09-30,0.09978553063596031,997.86
1977-12-31,0.0962667987975427,962.67
1978-03-31,0.09766068794909671,976.61
1978-06-30,0.1009379173854713,1009.38
1978-09-30,0.10092610967646519,1009.26
1978-12-31,0.09872360399668316,987.24
1979-03-31,0.09338499903473409,933.85
1979-06-30,0.09571001536392895,957.1
1979-09-30,0.09478211237503162,947.82
1979-12-31,0.0968226991697428,968.23
1980-03-31,0.10228312098969355,1022.83
1980-06-30,0.10375282553433259,1037.53
1980-09-30,0.10571201425504567,1057.12
1980-12-31,0.09896664242398096,989.67
1981-03-31,0.09330181371469724,933.02
1981-06-30,0.09503513177301297,950.35
1981-09-30,0.09471148566357002,947.11
1981-12-31,0.09115933775315282,911.59
1982-03-31,0.10729796633809277,1072.98
1982-06-30,0.11485965642740725,1148.6
1982-09-30,0.11541283701970134,1154.13
1982-12-31,0.11739869635256692,1173.99
1983-03-31,0.11503398707068378,1150.34
1983-06-30,0.11826185673867624,1182.62
1983-09-30,0.12357885813778889,1235.79
1983-12-31,0.11770571629287115,1177.06
1984-03-31,0.11306831765770656,1130.68
1984-06-30,0.1177392523406656,1177.39
1984-09-30,0.12386832076054063,1238.68
1984-12-31,0.11956971574518224,1195.7
1985-03-31,0.11333819521506652,1133.38
1985-06-30,0.1195346985382746,1195.35
1985-09-30,0.12118612398090799,1211.86
1985-12-31,0.12032772551395017,1203.28
1986-03-31,0.11748223965565652,1174.82
1986-06-30,0.13714164278238758,1371.42
1986-09-30,0.14146435355714107,1414.64
1986-12-31,0.17489300171721806,1748.93
1987-03-31,0.12119165708400699,1211.92
1987-06-30,0.13590369058813567,1359.04
1987-09-30,0.138336652803493,1383.37
1987-12-31,0.15955426307324896,1595.54
1988-03-31,0.12935496957147016,1293.55
1988-06-30,0.14291891665096684,1429.19
1988-09-30,0.15251093224192383,1525.11
1988-12-31,0.15394589699893965,1539.46
1989-03-31,0.1333348098849499,1333.35
1989-06-30,0.13773326069943145,1377.33
1989-09-30,0.1388964120481627,1388.96
1989-12-31,0.16387210993366857,1638.72
1990-03-31,0.10980802888809721,1098.08
1990-06-30,0.11242051871819414,1124.21
1990-09-30,0.11235749898065525,1123.57
1990-12-31,0.112858356980247,1128.58
1991-03-31,0.11689834815699103,1168.98
1991-06-30,0.12307333955851292,1230.73
1991-09-30,0.12578799321371237,1257.88
1991-12-31,0.1212705181788155,1212.71
1992-03-31,0.11468807131723244,1146.88
1992-06-30,0.12065024253923566,1206.5
1992-09-30,0.12312824533761979,1231.28
1992-12-31,0.11269532684983508,1126.95
1993-03-31,0.10498316398647846,1049.83
1993-06-30,0.11019545836634141,1101.95
1993-09-30,0.11002853605420647,1100.29
1993-12-31,0.10374927879858772,1037.49
1994-03-31,0.09035908911993738,903.59
1994-06-30,0.09877987082511869,987.8
1994-09-30,0.10314765569832611,1031.48
1994-12-31,0.10115189809888037,1011.52
1995-03-31,0.10234444655587864,1023.44
1995-06-30,0.10982822150111184,1098.28
1995-09-30,0.10971478506819406,1097.15
1995-12-31,0.10540124936948529,1054.01
1996-03-31,0.10806370105401902,1080.64
1996-06-30,0.11921396543801338,1192.14
1996-09-30,0.11671253841345304,1167.13
1996-12-31,0.10384576892335488,1038.46
1997-03-31,0.10131199750731576,1013.12
1997-06-30,0.10505242066963501,1050.52
1997-09-30,0.10540699197044748,1054.07
1997-12-31,0.10330484895925954,1033.05
1998-03-31,0.09785540868965407,978.55
1998-06-30,0.10280893250562481,1028.09
1998-09-30,0.10013041283130146,1001.3
1998-12-31,0.093571951439281,935.72
1999-03-31,0.0876950111524,876.95
1999-06-30,0.08637330780354341,863.73
1999-09-30,0.09061040171704772,906.1
1999-12-31,0.0954327578748087,954.33
2000-03-31,0.08953527351429039,895.35
2000-06-30,0.09273360203065055,927.34
2000-09-30,0.09900164737016155,990.02
2000-12-31,0.16978650341128887,1697.87
2001-03-31,0.08212102601823934,821.21
2001-06-30,0.08510611996223011,851.06
2001-09-30,0.09771223919587389,977.12
2001-12-31,0.11167287256270404,1116.73
2002-03-31,0.11902699944157501,1190.27
2002-06-30,0.12731353840893211,1273.14
2002-09-30,0.1587117205478338,1587.12
2002-12-31,0.19767492166806294,1976.75
2003-03-31,0.19148877890979796,1914.89
2003-06-30,0.19988900487440897,1998.89
2003-09-30,0.19742333488974362,1974.23
2003-12-31,0.17908610688621476,1790.86
2004-03-31,0.18877680810058556,1887.77
2004-06-30,0.18345997369371694,1834.6
2004-09-30,0.20238280599493194,2023.83
2004-12-31,0.19430102420502815,1943.01
2005-03-31,0.19920036864129229,1992.0
2005-06-30,0.19587378340947997,1958.74
2005-09-30,0.22596885876346684,2259.69
2005-12-31,0.19042359902089812,1904.24
2006-03-31,0.20369892049713054,2036.99
2006-06-30,0.2081737304636761,2081.74
2006-09-30,0.2039133037087304,2039.13
2006-12-31,0.18127287350513516,1812.73
2007-03-31,0.18737018967896674,1873.7
2007-06-30,0.18002048794035336,1800.2
2007-09-30,0.17792211091762586,1779.22
2007-12-31,0.17986727012246576,1798.67
2008-03-31,0.18010985375132738,1801.1
2008-06-30,0.20360941746526587,2036.09
2008-09-30,0.156954519977091,1569.55
2008-12-31,0.16277514558169456,1627.75
2009-03-31,0.1711652940006922,1711.65
2009-06-30,0.2022234958669175,2022.23
2009-09-30,0.20639502558229605,2063.95
2009-12-31,0.18041702853291244,1804.17
2010-03-31,0.18386327839342972,1838.63
2010-06-30,0.2176389357120185,2176.39
2010-09-30,0.21302949318527087,2130.29
2010-12-31,0.21620055990361975,2162.01
2011-03-31,0.08407085479973636,840.71
2011-06-30,0.07630200450871767,763.02
2011-09-30,0.0711676539992353,711.68
2011-12-31,0.07230931096676345,723.09
2012-03-31,0.09719650260444586,971.97
2012-06-30,0.08703454377559826,870.35
2012-09-30,0.09876663009411948,987.67
2012-12-31,0.07881317854045847,788.13
2013-03-31,0.08270995022130552,827.1
2013-06-30,0.07113360495514305,711.34
2013-09-30,0.07522556151133138,752.26
2013-12-31,0.07501325980257756,750.13
2014-03-31,0.06688079941730514,668.81
2014-06-30,0.0627876471103766,627.88
2014-09-30,0.05499664171523345,549.97
2014-12-31,0.05138379340367967,513.84
2015-03-31,0.0516877813964629,516.88
2015-06-30,0.06048239041056969,604.82
2015-09-30,0.0520201049740499,520.2
2015-12-31,0.05281032459358396,528.1
2016-03-31,0.05514023211538985,551.4
2016-06-30,0.0635517812156129,635.52
2016-09-30,0.05444531377740266,544.45
2016-12-31,0.058687766355603355,586.88
2017-03-31,0.051079641607813635,510.8
