date,ppi_drilling,ppi_support,ppi_oil,ppi_gas,delta_log_oil,delta_log_gas,delta_log_drilling,delta_log_support,delta_log_oil_lag1,delta_log_oil_lag2,delta_log_oil_lag3,delta_log_oil_lag4,delta_log_oil_lag5,delta_log_oil_lag6,delta_log_oil_lag7,delta_log_oil_lag8,delta_log_drilling_1,delta_log_support_1,delta_log_drilling_2,delta_log_support_2,delta_log_drilling_3,delta_log_support_3,delta_log_drilling_4,delta_log_support_4,delta_log_drilling_5,delta_log_support_5,delta_log_drilling_6,delta_log_support_6
1985-12-31,100.0,100.0,85.1,97.5,,,,,,,,,,,,,,,,,,,,,,,,
1986-03-31,97.56666666666666,99.33333333333333,66.39999999999999,97.76666666666667,-0.2481299790969409,0.0027313093114944564,-0.024634280958361288,-0.006688988150797215,,,,,,,,,,,,,,,,,,,,
1986-06-30,92.36666666666667,95.16666666666667,40.666666666666664,95.10000000000001,-0.4902883004172409,-0.027654717763951453,-0.05476974182890704,-0.04285145740933949,-0.2481299790969409,,,,,,,,-0.024634280958361288,-0.006688988150797215,,,,,,,,,,
1986-09-30,89.23333333333333,91.76666666666667,38.56666666666667,83.66666666666667,-0.053020410533625384,-0.12808831908767004,-0.03451150134262626,-0.036380616947503164,-0.4902883004172409,-0.2481299790969409,,,,,,,-0.05476974182890704,-0.04285145740933949,-0.024634280958361288,-0.006688988150797215,,,,,,,,
1986-12-31,86.03333333333335,90.89999999999999,42.0,81.76666666666667,0.08528127275184705,-0.022970987867340753,-0.036519843801738894,-0.009489122297019037,-0.053020410533625384,-0.4902883004172409,-0.2481299790969409,,,,,,-0.03451150134262626,-0.036380616947503164,-0.05476974182890704,-0.04285145740933949,-0.024634280958361288,-0.006688988150797215,,,,,,
1987-03-31,85.16666666666667,91.10000000000001,51.699999999999996,80.56666666666666,0.2077881632310148,-0.014784663555006183,-0.010124697080808431,0.0021978030824794104,0.08528127275184705,-0.053020410533625384,-0.4902883004172409,-0.2481299790969409,,,,,-0.036519843801738894,-0.009489122297019037,-0.03451150134262626,-0.036380616947503164,-0.05476974182890704,-0.04285145740933949,-0.024634280958361288,-0.006688988150797215,,,,
1987-06-30,84.8,91.73333333333333,54.76666666666667,80.2,0.057623954860729576,-0.004561484168858598,-0.004314578177792683,0.0069280131251669985,0.2077881632310148,0.08528127275184705,-0.053020410533625384,-0.4902883004172409,-0.2481299790969409,,,,-0.010124697080808431,0.0021978030824794104,-0.036519843801738894,-0.009489122297019037,-0.03451150134262626,-0.036380616947503164,-0.05476974182890704,-0.04285145740933949,-0.024634280958361288,-0.006688988150797215,,
1987-09-30,85.5,91.86666666666667,59.56666666666666,79.83333333333333,0.08401439712215986,-0.00458238668960842,0.008220833144857664,0.001452433080314286,0.057623954860729576,0.2077881632310148,0.08528127275184705,-0.053020410533625384,-0.4902883004172409,-0.2481299790969409,,,-0.004314578177792683,0.0069280131251669985,-0.010124697080808431,0.0021978030824794104,-0.036519843801738894,-0.009489122297019037,-0.03451150134262626,-0.036380616947503164,-0.05476974182890704,-0.04285145740933949,-0.024634280958361288,-0.006688988150797215
1987-12-31,86.43333333333334,95.2,55.86666666666667,77.39999999999999,-0.06412823411739943,-0.030954347587178965,0.010857027933794505,0.03564169132592632,0.08401439712215986,0.057623954860729576,0.2077881632310148,0.08528127275184705,-0.053020410533625384,-0.4902883004172409,-0.2481299790969409,,0.008220833144857664,0.001452433080314286,-0.004314578177792683,0.0069280131251669985,-0.010124697080808431,0.0021978030824794104,-0.036519843801738894,-0.009489122297019037,-0.03451150134262626,-0.036380616947503164,-0.05476974182890704,-0.04285145740933949
1988-03-31,89.0,96.76666666666667,49.0,78.13333333333334,-0.13114760126924674,0.009429988439066506,0.029262965855630263,0.016322640565154423,-0.06412823411739943,0.08401439712215986,0.057623954860729576,0.2077881632310148,0.08528127275184705,-0.053020410533625384,-0.4902883004172409,-0.2481299790969409,0.010857027933794505,0.03564169132592632,0.008220833144857664,0.001452433080314286,-0.004314578177792683,0.0069280131251669985,-0.010124697080808431,0.0021978030824794104,-0.036519843801738894,-0.009489122297019037,-0.03451150134262626,-0.036380616947503164
1988-06-30,89.83333333333333,95.7,50.4,77.5,0.0281708769666964,-0.008138832675446572,0.009319731948802534,-0.011084283903565861,-0.13114760126924674,-0.06412823411739943,0.08401439712215986,0.057623954860729576,0.2077881632310148,0.08528127275184705,-0.053020410533625384,-0.4902883004172409,0.029262965855630263,0.016322640565154423,0.010857027933794505,0.03564169132592632,0.008220833144857664,0.001452433080314286,-0.004314578177792683,0.0069280131251669985,-0.010124697080808431,0.0021978030824794104,-0.036519843801738894,-0.009489122297019037
1988-09-30,88.39999999999999,95.76666666666667,44.43333333333334,75.39999999999999,-0.12600123656076967,-0.027470661345391,-0.016084132037344823,0.0006963788582252661,0.0281708769666964,-0.13114760126924674,-0.06412823411739943,0.08401439712215986,0.057623954860729576,0.2077881632310148,0.08528127275184705,-0.053020410533625384,0.009319731948802534,-0.011084283903565861,0.029262965855630263,0.016322640565154423,0.010857027933794505,0.03564169132592632,0.008220833144857664,0.001452433080314286,-0.004314578177792683,0.0069280131251669985,-0.010124697080808431,0.0021978030824794104
